Year,Eastern Africa,Middle Africa,Northern Africa,Southern Africa,Western Africa,Eastern Asia,Central Asia,Southern Asia,South-Eastern Asia,Western Asia,Eastern Europe,Northern Europe,Southern Europe,Western Europe,Northern America,Caribbean,Central America,South America,Oceania
1990,11479,13919,47993,31133,22519,637430,12450,47737,177021,179718,206662,491481,381179,1156818,702424,50355,67987,96220,67638
1995,14955,12609,51964,39783,22112,1123499,17205,84684,405803,211016,256244,670694,508935,1615196,1032584,53878,117419,157332,98099
2000,15610,17167,75647,43034,36215,1423242,19698,110539,508685,352146,291586,839774,562083,1700972,1424688,87300,223388,193496,114947
2005,25622,55267,148613,78755,57247,2417729,47053,268463,774192,662172,683959,1342854,928239,2856341,1743099,121077,270634,358215,189270
2010,55947,102838,214009,112604,127598,3958727,98624,549067,1277216,1080076,1142979,1612819,1158722,3799992,2315590,135243,375592,647065,327962
2015,63357,84097,147601,111843,103555,4754200,98484,593983,1471389,1229691,1162669,1825078,1195878,4057696,2758228,141992,481778,541228,298978
