Year,Eastern Africa,Middle Africa,Northern Africa,Southern Africa,Western Africa,Eastern Asia,Central Asia,Southern Asia,South-Eastern Asia,Western Asia,Eastern Europe,Northern Europe,Southern Europe,Western Europe,Northern America,Caribbean,Central America,South America,Oceania
1990,64967,43433,183938,120044,82595,4039883,53119,517386,367243,533895,895866,1739504,1916650,3881594,6574664,94390,360928,744011,381249
1995,62080,29826,205616,162409,76111,7054729,39085,621497,694480,647613,775630,1987130,2052513,5386889,8269749,120049,396558,1400704,471848
2000,70493,35670,260532,144870,88043,6973429,39374,727245,614321,863653,649490,2321966,1999947,4303948,11033681,164859,754677,1335744,477716
2005,99475,86690,370085,268197,185720,8277735,90890,1266980,936430,1462217,1603619,3724257,3497216,6653873,14266098,220459,963274,1640427,895882
2010,186075,173887,646941,394116,346832,13165487,221446,2499300,1918036,2475045,2817956,4031181,4167817,8107532,16580395,283750,1203062,3723844,1463666
2015,306779,232594,750644,346595,645329,17826278,302780,3104592,2440849,2843855,2575830,4664906,3599276,8105149,19597386,339743,1370279,3695063,1448476
