Region Name,Region,Year,H-Exp,G-Exp,GCF,Exports,Imports,GDP
Western Europe,16,2010,4544509,1763341,1506230,3799992,3506840,8107532
Northern America,18,2010,11118427,2880165,3131691,2315590,2866791,16580395
Caribbean,20,2010,182664,47193,38822,135243,119843,283750
Central America,21,2010,818923,144020,260376,375592,400988,1203062
South America,22,2010,2215282,662041,791235,647065,600900,3723844
Oceania,24,2010,797288,266658,383477,327962,312167,1463666
Eastern Africa,1,2015,222099,43442,83925,63357,105953,306779
Middle Africa,2,2015,114093,41160,50391,84097,72161,232594
Northern Africa,3,2015,512026,130103,202705,147601,239202,750644
Southern Africa,4,2015,208409,71992,74895,111843,118890,346595
Western Africa,5,2015,489872,58167,112438,103555,119062,645329
Eastern Asia,7,2015,7909593,2709822,6658334,4754200,4201469,17826278
Central Asia,8,2015,149562,37820,94613,98484,85740,302780
Southern Asia,9,2015,1908667,328321,937876,593983,683486,3104592
South-Eastern Asia,10,2015,1367071,282593,692543,1471389,1341375,2440849
Western Asia,11,2015,1491253,582266,733585,1229691,1199203,2843855
Eastern Europe,13,2015,1424133,474723,526701,1162669,1017074,2575830
Northern Europe,14,2015,2677312,963853,924761,1825078,1726745,4664906
Southern Europe,15,2015,2195251,686232,638387,1195878,1113637,3599276
Western Europe,16,2015,4299485,1687745,1695564,4057696,3634861,8105149
Northern America,18,2015,13181964,2933558,4041307,2758228,3316824,19597386
Caribbean,20,2015,215243,57425,48794,141992,123675,339743
Central America,21,2015,939314,170256,316752,481778,524581,1370279
South America,22,2015,2565318,659713,798673,541228,869767,3695063
Oceania,24,2015,843670,270711,366120,298978,336952,1448476
