Year,Eastern Africa,Middle Africa,Northern Africa,Southern Africa,Western Africa,Eastern Asia,Central Asia,Southern Asia,South-Eastern Asia,Western Asia,Eastern Europe,Northern Europe,Southern Europe,Western Europe,Northern America,Caribbean,Central America,South America,Oceania
1990,12118,8275,29139,23996,8951,534090,8597,58495,35747,100454,176096,368335,359562,769210,1082365,17221,30807,114712,70357
1995,9873,5173,30507,30676,10139,1022312,6443,68886,66199,115706,150592,418428,367928,1112022,1275874,18669,39847,239917,84520
2000,10978,6161,37064,27026,9839,1114553,5852,85319,62045,160900,112670,456996,361767,865866,1585769,24265,81047,215844,84881
2005,15531,15767,46361,52299,17023,1342041,11595,137891,95239,230435,290429,802709,675083,1371756,2204945,34532,104029,266764,157024
2010,27687,29937,89819,85894,44078,2101378,26505,280941,208728,410072,534639,944436,874339,1763341,2880165,47193,144020,662041,266658
2015,43442,41160,130103,71992,58167,2709822,37820,328321,282593,582266,474723,963853,686232,1687745,2933558,57425,170256,659713,270711
