Year,Eastern Africa,Middle Africa,Northern Africa,Southern Africa,Western Africa,Eastern Asia,Central Asia,Southern Asia,South-Eastern Asia,Western Asia,Eastern Europe,Northern Europe,Southern Europe,Western Europe,Northern America,Caribbean,Central America,South America,Oceania
1990,45301,26477,112202,72701,59043,2123656,34442,345918,203361,295556,459930,997098,1141991,2206498,4159291,58771,244438,459973,220081
1995,45763,16824,136539,101203,54422,3821201,24735,392943,382432,376602,426966,1156696,1243351,3051041,5322636,81139,260431,904551,274786
2000,52443,19294,161189,90642,55131,3816197,23291,467147,342744,459659,356408,1378163,1219502,2436154,7206365,102083,491282,871876,282667
2005,75345,35070,195662,167196,141084,4316048,45714,749760,536827,769274,884218,2170760,2097788,3762841,9421880,135061,662066,988500,510825
2010,134447,73395,357962,235604,236080,6270956,97440,1408059,1045585,1305767,1550101,2328139,2556799,4544509,11118427,182664,818923,2215282,797288
2015,222099,114093,512026,208409,489872,7909593,149562,1908667,1367071,1491253,1424133,2677312,2195251,4299485,13181964,215243,939314,2565318,843670
