Year,Eastern Africa,Middle Africa,Northern Africa,Southern Africa,Western Africa,Eastern Asia,Central Asia,Southern Asia,South-Eastern Asia,Western Asia,Eastern Europe,Northern Europe,Southern Europe,Western Europe,Northern America,Caribbean,Central America,South America,Oceania
1990,11751,6334,48839,22505,11079,1314686,20894,140491,118624,106350,258648,376760,447690,902757,1411326,19247,90306,134069,89702
1995,11651,5809,45273,30315,9810,2125033,9412,168678,242639,151207,188437,355635,425604,1135367,1743184,19304,86994,279462,114095
2000,13405,5549,51402,23849,10679,1903773,8127,178655,152348,174096,145250,438079,463994,934355,2578471,30898,196361,245984,109166
2005,19996,14438,94760,49180,21303,2353293,25666,397058,233049,305660,347381,701226,843200,1271999,3307736,37691,213580,302791,244118
2010,41308,39289,197171,78066,53414,4405482,62840,861532,521210,581281,639362,667257,868990,1506230,3131691,38822,260376,791235,383477
2015,83925,50391,202705,74895,112438,6658334,94613,937876,692543,733585,526701,924761,638387,1695564,4041307,48794,316752,798673,366120
